Delay [ns]	StS norm
-2.182000e+01	4.219917e+06
-2.179500e+01	2.093577e+07
-2.177000e+01	-2.827188e+07
-2.172000e+01	1.706111e+07
-2.162000e+01	-5.984472e+06
-2.152000e+01	3.898320e+07
-2.147000e+01	-2.661094e+07
-2.117000e+01	3.062841e+07
-2.087000e+01	-1.365911e+07
-2.057000e+01	3.907406e+07
-2.027000e+01	1.393961e+07
-2.022000e+01	-2.180117e+07
-2.012000e+01	1.048858e+07
-2.002000e+01	2.555772e+06
-1.997000e+01	1.459480e+07
-1.994500e+01	-6.474105e+06
-1.992000e+01	9.360865e+06
-1.989500e+01	-4.463493e+06
-1.987000e+01	3.337242e+05
-1.984500e+01	-2.738104e+07
-1.982000e+01	1.310567e+07
-1.979500e+01	1.659515e+07
-1.977000e+01	-4.866808e+05
-1.972000e+01	-2.021259e+07
-1.962000e+01	1.171028e+07
-1.952000e+01	-1.829608e+07
-1.947000e+01	-2.729328e+07
-1.917000e+01	-9.500378e+06
-1.887000e+01	7.018391e+06
-1.857000e+01	-1.405045e+07
-1.827000e+01	4.335163e+06
-1.822000e+01	-3.296501e+07
-1.812000e+01	-4.143794e+07
-1.802000e+01	5.734648e+06
-1.797000e+01	-3.354622e+07
-1.794500e+01	1.902057e+07
-1.792000e+01	1.165949e+07
-1.789500e+01	8.988129e+06
-1.787000e+01	6.694362e+06
-1.784500e+01	1.564970e+07
-1.782000e+01	-1.142056e+07
-1.779500e+01	-4.106506e+07
-1.777000e+01	2.270742e+07
-1.772000e+01	1.381380e+07
-1.762000e+01	1.507838e+07
-1.752000e+01	-1.012830e+07
-1.747000e+01	1.358247e+07
-1.717000e+01	4.968036e+07
-1.687000e+01	-5.459092e+06
-1.657000e+01	-7.324636e+06
-1.627000e+01	-2.495194e+07
-1.622000e+01	1.667597e+07
-1.612000e+01	9.109103e+06
-1.602000e+01	-1.535983e+07
-1.597000e+01	-1.996229e+07
-1.594500e+01	8.613353e+06
-1.592000e+01	-3.007588e+07
-1.589500e+01	-2.006240e+07
-1.587000e+01	-1.545528e+07
-1.584500e+01	-1.066019e+07
-1.582000e+01	-5.603759e+06
-1.579500e+01	-2.629601e+06
-1.577000e+01	4.279367e+06
-1.572000e+01	-4.502152e+06
-1.562000e+01	-2.152412e+07
-1.552000e+01	4.352962e+05
-1.547000e+01	1.943892e+07
-1.517000e+01	-1.149380e+07
-1.487000e+01	-1.758244e+07
-1.457000e+01	-6.593334e+06
-1.427000e+01	1.546374e+07
-1.422000e+01	-8.957247e+06
-1.412000e+01	-3.273091e+07
-1.402000e+01	8.990347e+06
-1.397000e+01	-1.355942e+07
-1.394500e+01	2.921094e+07
-1.392000e+01	-1.299033e+07
-1.389500e+01	-3.148364e+07
-1.387000e+01	9.758958e+05
-1.384500e+01	-2.251338e+07
-1.382000e+01	-2.112896e+07
-1.379500e+01	-3.226441e+07
-1.377000e+01	1.250454e+07
-1.372000e+01	-2.917974e+06
-1.362000e+01	-2.486243e+07
-1.352000e+01	-1.254739e+07
-1.347000e+01	-6.171326e+06
-1.317000e+01	3.378877e+06
-1.287000e+01	4.793613e+06
-1.257000e+01	4.706098e+07
-1.227000e+01	2.225276e+07
-1.222000e+01	-2.871956e+07
-1.212000e+01	-4.401119e+06
-1.202000e+01	-1.419620e+07
-1.197000e+01	1.571896e+07
-1.194500e+01	-9.791898e+06
-1.192000e+01	-5.657100e+06
-1.189500e+01	2.912563e+07
-1.187000e+01	-1.469885e+06
-1.184500e+01	-1.152286e+07
-1.182000e+01	1.162964e+07
-1.179500e+01	-3.355739e+07
-1.177000e+01	-5.323266e+07
-1.172000e+01	-2.773646e+07
-1.162000e+01	4.040784e+07
-1.152000e+01	6.440332e+06
-1.147000e+01	2.154201e+07
-1.117000e+01	2.221078e+07
-1.087000e+01	-1.798691e+07
-1.057000e+01	-8.713153e+06
-1.027000e+01	-2.757126e+07
-1.022000e+01	5.151763e+06
-1.012000e+01	7.937523e+06
-1.002000e+01	-2.565811e+07
-9.970000e+00	2.259429e+07
-9.945000e+00	-3.320410e+07
-9.920000e+00	2.919248e+07
-9.895000e+00	9.940007e+06
-9.870000e+00	-1.093022e+07
-9.845000e+00	7.376433e+06
-9.820000e+00	-1.949931e+07
-9.795000e+00	1.602351e+06
-9.770000e+00	-2.477867e+07
-9.720000e+00	-4.340077e+06
-9.620000e+00	1.499785e+07
-9.520000e+00	-4.199090e+06
-9.470000e+00	1.835452e+07
-9.170000e+00	-7.069637e+05
-8.870000e+00	-1.393860e+07
-8.570000e+00	6.257102e+06
-8.270000e+00	-5.148659e+06
-8.220000e+00	1.250083e+07
-8.120000e+00	2.192516e+07
-8.020000e+00	-1.293221e+07
-7.970000e+00	-3.261793e+07
-7.945000e+00	3.430434e+07
-7.920000e+00	1.874736e+07
-7.895000e+00	-5.720886e+06
-7.870000e+00	-6.977650e+06
-7.845000e+00	-7.950298e+05
-7.820000e+00	1.640227e+07
-7.795000e+00	7.313330e+05
-7.770000e+00	-2.621732e+07
-7.720000e+00	-4.540373e+06
-7.620000e+00	-2.279164e+07
-7.520000e+00	3.090228e+07
-7.470000e+00	-1.451745e+07
-7.170000e+00	-1.853734e+06
-6.870000e+00	6.708006e+06
-6.570000e+00	-6.338832e+06
-6.270000e+00	-5.461368e+06
-6.220000e+00	-7.380170e+06
-6.120000e+00	-3.173386e+07
-6.020000e+00	3.761768e+06
-5.970000e+00	5.751908e+06
-5.945000e+00	2.593388e+06
-5.920000e+00	1.150161e+07
-5.895000e+00	2.517134e+07
-5.870000e+00	1.665288e+07
-5.845000e+00	1.241244e+07
-5.820000e+00	-1.430537e+07
-5.795000e+00	-4.381602e+07
-5.770000e+00	1.468231e+07
-5.720000e+00	-2.363642e+07
-5.620000e+00	9.415818e+06
-5.520000e+00	-4.070395e+06
-5.470000e+00	-2.982197e+07
-5.170000e+00	1.546469e+07
-4.870000e+00	-1.526388e+07
-4.570000e+00	-6.212670e+07
-4.270000e+00	-5.541624e+06
-4.220000e+00	-1.506997e+07
-4.120000e+00	-1.073042e+07
-4.020000e+00	1.231034e+07
-3.970000e+00	-1.392597e+07
-3.945000e+00	-2.962810e+07
