# Delay[ns]	Avg Transient	0190 Delay[ns]	0190 Transient	0191 Delay[ns]	0191 Transient	0192 Delay[ns]	0192 Transient	0193 Delay[ns]	0193 Transient	0214 Delay[ns]	0214 Transient	0215 Delay[ns]	0215 Transient	0262 Delay[ns]	0262 Transient	0263 Delay[ns]	0263 Transient	0264 Delay[ns]	0264 Transient
3.815000e+01	1.710309e-02	3.615000e+01	2.713724e-02	3.615000e+01	1.592934e-02	4.415000e+01	4.075730e-03	3.215000e+01	1.780895e-02	4.015000e+01	3.209400e-03	5.215000e+01	1.231150e-02	3.815000e+01	2.233274e-02	3.215000e+01	2.061231e-02	3.215000e+01	2.727479e-02
4.215000e+01	1.045811e-02	3.815000e+01	1.088515e-02	4.015000e+01	8.535443e-03	4.815000e+01	1.219723e-02	3.415000e+01	1.219010e-02	4.215000e+01	1.314316e-02	5.615000e+01	1.823506e-02	4.015000e+01	5.694219e-03	3.615000e+01	1.138553e-02	3.415000e+01	2.294069e-02
4.615000e+01	1.337736e-02	4.015000e+01	7.806569e-03	4.215000e+01	7.236129e-03	5.215000e+01	8.934032e-03	3.615000e+01	2.479558e-03	4.415000e+01	7.100898e-03	5.815000e+01	7.504999e-03	4.415000e+01	3.008570e-02	4.015000e+01	1.357805e-02	3.615000e+01	2.017355e-02
4.815000e+01	1.398209e-02	4.215000e+01	1.262307e-02	4.615000e+01	8.068981e-03	5.615000e+01	1.360781e-02	3.815000e+01	1.754311e-02	4.615000e+01	7.724101e-03	6.015000e+01	1.462901e-02	4.615000e+01	2.278987e-02	4.215000e+01	6.661341e-03	3.815000e+01	1.577714e-02
5.015000e+01	1.025379e-02	4.615000e+01	1.779652e-02	5.015000e+01	9.498707e-03	5.815000e+01	1.508400e-02	4.015000e+01	1.891599e-02	5.015000e+01	2.125089e-02	6.215000e+01	1.001942e-02	5.015000e+01	1.104177e-02	4.415000e+01	8.618093e-03	4.215000e+01	1.181434e-02
5.415000e+01	1.094951e-02	4.815000e+01	1.697688e-02	5.415000e+01	8.433217e-03	6.015000e+01	9.100785e-03	4.215000e+01	1.643141e-02	5.215000e+01	2.213662e-03	6.415000e+01	1.699546e-02	5.415000e+01	1.069968e-02	4.815000e+01	1.719570e-02	4.615000e+01	3.315987e-02
5.815000e+01	9.455005e-03	5.215000e+01	5.281419e-03	5.815000e+01	1.421618e-02	6.415000e+01	1.263241e-02	4.415000e+01	1.667301e-02	5.415000e+01	1.637427e-02	6.615000e+01	1.500918e-02	5.815000e+01	1.067189e-02	5.015000e+01	-1.500962e-02	5.015000e+01	1.740194e-02
6.215000e+01	1.222465e-02	5.415000e+01	1.188096e-02	6.015000e+01	1.314450e-02	6.615000e+01	2.167587e-03	4.615000e+01	9.554243e-03	5.615000e+01	7.519716e-03	6.815000e+01	1.179613e-02	6.015000e+01	2.355738e-02	5.215000e+01	1.140093e-02	5.215000e+01	3.212718e-02
6.615000e+01	1.317795e-02	5.615000e+01	1.899813e-02	6.415000e+01	1.931342e-02	6.815000e+01	7.833177e-03	4.815000e+01	2.362917e-02	5.815000e+01	5.494041e-03	7.015000e+01	1.312884e-02	6.215000e+01	1.211519e-02	5.415000e+01	8.623165e-03	5.415000e+01	1.688465e-02
7.015000e+01	8.308811e-03	6.015000e+01	5.439689e-03	6.615000e+01	1.617385e-02	7.015000e+01	1.469697e-02	5.015000e+01	1.287554e-02	6.015000e+01	7.842192e-03	7.215000e+01	2.815001e-02	6.615000e+01	1.393577e-02	5.815000e+01	-4.869385e-03	5.815000e+01	1.272143e-02
7.415000e+01	6.791140e-03	6.215000e+01	8.685533e-03	6.815000e+01	2.426277e-02	7.415000e+01	8.109879e-03	5.215000e+01	4.081419e-03	6.415000e+01	-3.637920e-03	7.415000e+01	1.104465e-02	6.815000e+01	1.114823e-02	6.215000e+01	1.861530e-02	6.015000e+01	2.123482e-03
7.815000e+01	1.546362e-02	6.415000e+01	6.680602e-03	7.015000e+01	6.538389e-03	7.615000e+01	3.979829e-03	5.615000e+01	-6.327496e-03	6.615000e+01	1.090783e-02	7.615000e+01	2.436039e-03	7.015000e+01	3.025234e-02	6.415000e+01	9.228402e-03	6.215000e+01	6.550922e-03
8.215000e+01	9.675645e-03	6.615000e+01	1.102918e-02	7.215000e+01	1.113182e-02	7.815000e+01	1.751635e-02	5.815000e+01	9.070280e-03	7.015000e+01	-8.103219e-03	7.815000e+01	1.109364e-02	7.415000e+01	1.177970e-02	6.815000e+01	9.379604e-03	6.415000e+01	1.595223e-02
8.415000e+01	1.325348e-02	7.015000e+01	-5.980217e-03	7.415000e+01	9.562909e-03	8.015000e+01	6.670406e-03	6.015000e+01	1.090149e-02	7.215000e+01	5.292958e-03	8.215000e+01	1.671921e-02	7.615000e+01	3.280666e-02	7.015000e+01	1.742973e-02	6.615000e+01	2.698195e-02
8.615000e+01	6.202230e-03	7.215000e+01	1.199963e-02	7.615000e+01	1.133821e-02	8.215000e+01	1.301401e-02	6.215000e+01	1.269659e-02	7.415000e+01	2.532080e-03	8.415000e+01	1.768967e-02	7.815000e+01	1.952751e-02	7.215000e+01	1.463908e-03	6.815000e+01	8.455303e-03
