# Delay[ns]	Avg Transient	019 Delay[ns]	019 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	019 Delay[ns]	019 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
2.215000e+01	3.154727e-02	2.215000e+01	2.942900e-02	2.215000e+01	2.440277e-02	2.215000e+01	4.625077e-02	3.415000e+01	1.906079e-02	3.415000e+01	2.603691e-02	3.415000e+01	3.321568e-02	3.415000e+01	2.203622e-02
2.415000e+01	4.262527e-02	2.415000e+01	2.348774e-02	2.415000e+01	5.273720e-02	2.415000e+01	5.219549e-02	3.615000e+01	2.778327e-02	3.615000e+01	5.459624e-03	3.615000e+01	1.038881e-02	3.615000e+01	6.176743e-03
2.615000e+01	3.250093e-02	2.615000e+01	3.753117e-02	2.615000e+01	2.831768e-02	2.615000e+01	3.652545e-02	3.815000e+01	3.996860e-02	3.815000e+01	4.835695e-02	3.815000e+01	3.221683e-02	3.815000e+01	1.019478e-02
2.815000e+01	3.640556e-02	2.815000e+01	3.436968e-02	2.815000e+01	5.192566e-02	2.815000e+01	3.756782e-02	4.015000e+01	1.234427e-02	4.015000e+01	4.448043e-02	4.015000e+01	2.835772e-02	4.015000e+01	3.398510e-02
3.015000e+01	3.549984e-02	3.015000e+01	3.405783e-02	3.015000e+01	3.434053e-02	3.015000e+01	5.994904e-02	4.215000e+01	1.531533e-02	4.215000e+01	7.473954e-03	4.215000e+01	2.722849e-02	4.215000e+01	2.301296e-02
3.215000e+01	3.279924e-02	3.215000e+01	2.820761e-02	3.215000e+01	1.771527e-02	3.215000e+01	4.939430e-02	4.415000e+01	3.470269e-02	4.415000e+01	3.282721e-02	4.415000e+01	3.148945e-03	4.415000e+01	2.332615e-02
3.415000e+01	3.188319e-02	3.415000e+01	4.302230e-02	3.415000e+01	5.631884e-02	3.415000e+01	2.349156e-02	4.615000e+01	2.424316e-02	4.615000e+01	3.510353e-02	4.615000e+01	1.986613e-02	4.615000e+01	1.711958e-02
3.615000e+01	1.847338e-02	3.615000e+01	2.772646e-02	3.615000e+01	1.789879e-02	3.615000e+01	3.388000e-02	4.815000e+01	2.831110e-02	4.815000e+01	2.222993e-02	4.815000e+01	4.723605e-02	4.815000e+01	1.906181e-02
3.815000e+01	3.115781e-02	3.815000e+01	4.880513e-02	3.815000e+01	2.461884e-02	3.815000e+01	1.394352e-02	5.015000e+01	4.361686e-02	5.015000e+01	3.691526e-02	5.015000e+01	6.989277e-03	5.015000e+01	5.714058e-02
4.015000e+01	2.823412e-02	4.015000e+01	3.299221e-02	4.015000e+01	2.329105e-02	4.015000e+01	2.218808e-02	5.215000e+01	3.264928e-02	5.215000e+01	5.383846e-02	5.215000e+01	2.480198e-02	5.215000e+01	1.388749e-02
4.215000e+01	2.533370e-02	4.215000e+01	4.607332e-02	4.215000e+01	3.048873e-02	4.215000e+01	2.774313e-02	5.415000e+01	1.510792e-02	5.415000e+01	3.847384e-02	5.415000e+01	2.684924e-02	5.415000e+01	3.870565e-02
4.415000e+01	2.683349e-02	4.415000e+01	1.508063e-02	4.415000e+01	4.325786e-02	4.415000e+01	3.549093e-02	5.615000e+01	2.063703e-02	5.615000e+01	2.628444e-02	5.615000e+01	9.915248e-03	5.615000e+01	3.367076e-02
4.615000e+01	2.746985e-02	4.615000e+01	3.147336e-02	4.615000e+01	2.957361e-02	4.615000e+01	3.490960e-02	5.815000e+01	1.123420e-02	5.815000e+01	3.697766e-02	5.815000e+01	2.864548e-02	5.815000e+01	1.613614e-03
4.815000e+01	2.802910e-02	4.815000e+01	2.320075e-02	4.815000e+01	2.518657e-02	4.815000e+01	3.097747e-02	6.015000e+01	3.582045e-02	6.015000e+01	3.656371e-02	6.015000e+01	1.101676e-02	6.015000e+01	3.351432e-02
5.015000e+01	3.866485e-02	5.015000e+01	5.625650e-02	5.015000e+01	2.557453e-02	5.015000e+01	4.416095e-02	6.215000e+01	4.955944e-02	6.215000e+01	1.993870e-02	6.215000e+01	3.213419e-02	6.215000e+01	2.879053e-02
5.215000e+01	2.801495e-02	5.215000e+01	1.675074e-02	5.215000e+01	4.525751e-02	5.215000e+01	8.919215e-03	6.415000e+01	3.779715e-02	6.415000e+01	2.513823e-02	6.415000e+01	9.794063e-03	6.415000e+01	4.590707e-02
5.415000e+01	3.052379e-02	5.415000e+01	3.093559e-02	5.415000e+01	4.220826e-02	5.415000e+01	2.138601e-02	6.615000e+01	3.870431e-02	6.615000e+01	3.220021e-02	6.615000e+01	2.773019e-03	6.615000e+01	1.534749e-02
5.615000e+01	2.256868e-02	5.615000e+01	9.900553e-03	5.615000e+01	2.635567e-02	5.615000e+01	3.121709e-02	6.815000e+01	2.579245e-02	6.815000e+01	2.907882e-02	6.815000e+01	2.432780e-02	6.815000e+01	1.367900e-02
5.815000e+01	2.575584e-02	5.815000e+01	3.695380e-02	5.815000e+01	3.905788e-02	5.815000e+01	2.580822e-02	7.015000e+01	2.075171e-02	7.015000e+01	2.421139e-02	7.015000e+01	-1.646119e-03	7.015000e+01	2.159820e-02
6.015000e+01	3.648967e-02	6.015000e+01	4.382920e-02	6.015000e+01	3.877637e-02	6.015000e+01	5.590684e-02	7.215000e+01	6.087631e-02	7.215000e+01	-2.411435e-03	7.215000e+01	1.450357e-02	7.215000e+01	1.365899e-02
6.215000e+01	3.185450e-02	6.215000e+01	3.514308e-02	6.215000e+01	2.742609e-02	6.215000e+01	2.998945e-02	7.415000e+01	3.118375e-02	7.415000e+01	2.713988e-02	7.415000e+01	1.978939e-02	7.415000e+01	1.282757e-02
6.415000e+01	2.801101e-02	6.415000e+01	1.036194e-02	6.415000e+01	2.973695e-02	6.415000e+01	3.734165e-02	7.615000e+01	3.047232e-02	7.615000e+01	4.851790e-02	7.615000e+01	-6.019472e-03	7.615000e+01	1.457220e-02
6.615000e+01	2.647177e-02	6.615000e+01	3.817120e-02	6.615000e+01	3.519033e-02	6.615000e+01	2.291583e-02	7.815000e+01	1.545915e-02	7.815000e+01	3.281341e-02	7.815000e+01	2.922226e-02	7.815000e+01	2.886147e-02
6.815000e+01	2.947356e-02	6.815000e+01	4.207357e-02	6.815000e+01	2.546258e-02	6.815000e+01	4.590072e-02	8.015000e+01	1.857926e-02	8.015000e+01	3.131440e-02	8.015000e+01	1.153493e-02	8.015000e+01	1.674825e-02
7.015000e+01	2.436888e-02	7.015000e+01	2.381792e-02	7.015000e+01	2.878292e-02	7.015000e+01	5.306613e-02	8.215000e+01	3.781026e-02	8.215000e+01	8.751676e-03	8.215000e+01	2.414523e-02	8.215000e+01	2.600252e-02
7.215000e+01	2.556844e-02	7.215000e+01	1.526779e-02	7.215000e+01	3.077904e-02	7.215000e+01	4.630480e-02	8.415000e+01	3.435938e-02	8.415000e+01	2.740805e-02	8.415000e+01	-3.984205e-03	8.415000e+01	1.623975e-02
7.415000e+01	2.444448e-02	7.415000e+01	2.516815e-02	7.415000e+01	1.565353e-02	7.415000e+01	3.934911e-02	8.615000e+01	3.195034e-02	8.615000e+01	3.411500e-02	8.615000e+01	-6.336325e-04	8.615000e+01	1.025657e-02
