# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
1.461500e+02	1.231604e-02	1.141500e+02	1.544812e-02	1.241500e+02	-1.158030e-02	1.161500e+02	2.436707e-02	1.041500e+02	1.579673e-03	1.181500e+02	2.791622e-02	1.201500e+02	9.377055e-03	9.815000e+01	1.793543e-02	1.041500e+02	2.073762e-02
1.481500e+02	2.701911e-03	1.161500e+02	1.952721e-02	1.261500e+02	1.967237e-02	1.181500e+02	4.232268e-03	1.061500e+02	7.336380e-03	1.201500e+02	1.056598e-02	1.221500e+02	1.063689e-02	1.001500e+02	-1.634076e-03	1.081500e+02	1.118608e-02
1.501500e+02	1.240480e-03	1.181500e+02	3.785512e-02	1.301500e+02	1.931612e-02	1.201500e+02	1.176178e-02	1.081500e+02	1.907164e-03	1.221500e+02	1.081786e-02	1.241500e+02	2.972532e-03	1.021500e+02	7.365771e-03	1.101500e+02	3.914441e-03
1.541500e+02	3.269437e-03	1.221500e+02	8.378206e-04	1.341500e+02	5.739269e-03	1.221500e+02	1.512939e-02	1.101500e+02	1.650570e-02	1.241500e+02	-1.166470e-02	1.261500e+02	6.331606e-03	1.041500e+02	1.024565e-02	1.121500e+02	8.805544e-03
1.561500e+02	6.382931e-03	1.241500e+02	5.767105e-04	1.361500e+02	1.086762e-02	1.241500e+02	-1.715197e-03	1.121500e+02	5.688913e-03	1.261500e+02	7.007935e-03	1.301500e+02	-2.479092e-04	1.061500e+02	-2.720610e-03	1.141500e+02	-2.558471e-04
1.581500e+02	8.485987e-03	1.261500e+02	-1.130322e-02	1.381500e+02	6.987313e-03	1.261500e+02	2.465845e-02	1.141500e+02	1.870897e-02	1.281500e+02	-1.538212e-02	1.321500e+02	6.940081e-03	1.081500e+02	1.990910e-02	1.161500e+02	8.576253e-03
1.601500e+02	1.377730e-02	1.281500e+02	1.449728e-02	1.401500e+02	5.684604e-03	1.281500e+02	7.325442e-03	1.161500e+02	1.184344e-02	1.301500e+02	6.758749e-03	1.341500e+02	-6.048029e-03	1.101500e+02	1.621278e-02	1.181500e+02	2.998266e-02
1.621500e+02	3.081720e-03	1.301500e+02	-4.343491e-04	1.421500e+02	1.334034e-02	1.301500e+02	2.035412e-03	1.181500e+02	1.382674e-02	1.321500e+02	1.608538e-02	1.361500e+02	5.543728e-03	1.121500e+02	-8.135048e-04	1.201500e+02	2.786471e-02
1.641500e+02	1.107788e-02	1.321500e+02	4.737692e-03	1.441500e+02	2.672030e-02	1.321500e+02	3.172782e-02	1.201500e+02	8.939713e-03	1.341500e+02	2.199710e-02	1.381500e+02	1.109820e-02	1.141500e+02	9.273710e-03	1.221500e+02	3.709007e-03
1.661500e+02	5.707765e-03	1.341500e+02	-1.328509e-04	1.461500e+02	2.158501e-02	1.361500e+02	4.313384e-02	1.221500e+02	2.260004e-02	1.361500e+02	7.098773e-03	1.401500e+02	-8.768267e-03	1.161500e+02	8.822545e-03	1.241500e+02	-1.015484e-02
