# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
1.215000e+01	-1.068956e-02	1.215000e+01	-2.626564e-02	1.215000e+01	-1.624969e-02	1.215000e+01	-1.930742e-02	1.215000e+01	1.702011e-02	1.215000e+01	-1.193551e-02	1.215000e+01	-1.891181e-03	1.215000e+01	-3.331819e-02	1.215000e+01	6.431021e-03
1.415000e+01	-1.769740e-02	1.415000e+01	-1.765603e-02	1.415000e+01	5.359876e-03	1.415000e+01	1.688426e-02	1.415000e+01	-4.003457e-02	1.415000e+01	-3.379116e-02	1.415000e+01	-5.858942e-03	1.415000e+01	-3.767878e-02	1.415000e+01	-2.880387e-02
1.615000e+01	-1.020656e-02	1.615000e+01	-3.259324e-02	1.615000e+01	-4.839941e-03	1.615000e+01	-5.533753e-02	1.615000e+01	6.102850e-03	1.615000e+01	1.034454e-02	1.615000e+01	1.637683e-02	1.615000e+01	-2.113529e-02	1.615000e+01	-5.706671e-04
1.815000e+01	-1.003207e-02	1.815000e+01	-1.094945e-02	1.815000e+01	4.047476e-02	1.815000e+01	-1.230720e-02	1.815000e+01	-2.350936e-02	1.815000e+01	-4.294694e-04	1.815000e+01	-1.351813e-02	1.815000e+01	-4.444177e-02	1.815000e+01	-1.557596e-02
2.015000e+01	-7.244486e-03	2.015000e+01	-3.522491e-02	2.015000e+01	-4.375029e-02	2.015000e+01	5.053690e-02	2.015000e+01	1.641413e-02	2.015000e+01	2.028312e-03	2.015000e+01	-4.417592e-02	2.015000e+01	-2.350275e-02	2.015000e+01	1.971863e-02
2.215000e+01	-1.644791e-02	2.215000e+01	-2.606271e-02	2.215000e+01	-3.121263e-03	2.215000e+01	-1.841578e-02	2.215000e+01	-6.280392e-03	2.215000e+01	2.093891e-02	2.215000e+01	4.870585e-03	2.215000e+01	-8.064616e-02	2.215000e+01	-2.286646e-02
2.415000e+01	-9.906676e-03	2.415000e+01	-5.370340e-03	2.415000e+01	-7.954979e-03	2.415000e+01	-4.966243e-03	2.415000e+01	-1.005687e-02	2.415000e+01	-5.002382e-03	2.415000e+01	-4.672134e-02	2.415000e+01	7.081732e-03	2.415000e+01	-6.262998e-03
2.615000e+01	-6.093350e-03	2.615000e+01	-2.187640e-02	2.615000e+01	7.116607e-03	2.615000e+01	-3.726813e-02	2.615000e+01	1.995743e-02	2.615000e+01	1.193209e-02	2.615000e+01	2.198826e-02	2.615000e+01	-4.424324e-02	2.615000e+01	-6.353405e-03
2.815000e+01	-1.350461e-02	2.815000e+01	-2.294419e-02	2.815000e+01	1.131272e-02	2.815000e+01	-2.475392e-02	2.815000e+01	-3.663523e-02	2.815000e+01	2.549092e-02	2.815000e+01	-1.447817e-02	2.815000e+01	-1.733212e-02	2.815000e+01	-2.869692e-02
3.015000e+01	-6.059420e-03	3.015000e+01	-9.647506e-03	3.015000e+01	1.253648e-03	3.015000e+01	2.351790e-02	3.015000e+01	-8.137444e-02	3.015000e+01	1.924785e-03	3.015000e+01	3.008538e-02	3.015000e+01	-1.605480e-02	3.015000e+01	1.819679e-03
3.215000e+01	-7.375001e-03	3.215000e+01	7.922120e-04	3.215000e+01	1.267322e-03	3.215000e+01	-5.461727e-03	3.215000e+01	-2.068415e-02	3.215000e+01	1.421342e-02	3.215000e+01	-1.142028e-02	3.215000e+01	-3.186574e-02	3.215000e+01	-5.841064e-03
3.415000e+01	9.566454e-03	3.415000e+01	6.388699e-03	3.415000e+01	1.365581e-02	3.415000e+01	9.897956e-03	3.415000e+01	-5.130363e-02	3.415000e+01	3.927626e-02	3.415000e+01	2.356175e-02	3.415000e+01	3.756374e-02	3.415000e+01	-2.508956e-03
3.615000e+01	-8.553560e-03	3.615000e+01	-5.352098e-02	3.615000e+01	-2.250013e-03	3.615000e+01	-2.563377e-02	3.615000e+01	-8.484433e-03	3.615000e+01	1.438340e-02	3.615000e+01	-1.180121e-02	3.615000e+01	-1.512383e-02	3.615000e+01	3.400235e-02
3.815000e+01	-1.339960e-02	3.815000e+01	-3.730726e-02	3.815000e+01	-3.651941e-02	3.815000e+01	-1.420757e-02	3.815000e+01	-9.921211e-04	3.815000e+01	-2.266368e-02	3.815000e+01	-2.390943e-03	3.815000e+01	1.184016e-02	3.815000e+01	-4.956020e-03
4.015000e+01	-1.123862e-02	4.015000e+01	-6.002802e-02	4.015000e+01	2.133448e-02	4.015000e+01	-1.257485e-04	4.015000e+01	-4.226463e-02	4.015000e+01	2.259077e-02	4.015000e+01	-6.761528e-03	4.015000e+01	-3.219828e-02	4.015000e+01	7.543991e-03
4.215000e+01	-1.907647e-03	4.215000e+01	-1.148129e-02	4.215000e+01	4.488655e-02	4.215000e+01	-3.369253e-02	4.215000e+01	8.004267e-03	4.215000e+01	1.546769e-02	4.215000e+01	-2.116537e-03	4.215000e+01	-4.466155e-02	4.215000e+01	8.332224e-03
4.415000e+01	-1.641650e-02	4.415000e+01	1.675795e-03	4.415000e+01	-4.368306e-04	4.415000e+01	-3.139522e-02	4.415000e+01	-7.390497e-03	4.415000e+01	-3.821670e-02	4.415000e+01	-3.450020e-03	4.415000e+01	-3.499780e-02	4.415000e+01	-1.712071e-02
4.615000e+01	-4.597781e-03	4.615000e+01	4.546877e-02	4.615000e+01	-2.632383e-02	4.615000e+01	1.657034e-02	4.615000e+01	4.528221e-04	4.615000e+01	4.860681e-04	4.615000e+01	-1.214381e-02	4.615000e+01	-3.566974e-02	4.615000e+01	-2.562287e-02
4.815000e+01	-2.258147e-02	4.815000e+01	-4.803660e-02	4.815000e+01	-2.355144e-02	4.815000e+01	-5.474913e-03	4.815000e+01	-3.419356e-02	4.815000e+01	-1.459838e-02	4.815000e+01	-1.534787e-02	4.815000e+01	-3.466794e-02	4.815000e+01	-4.781086e-03
5.015000e+01	-1.280918e-02	5.015000e+01	-7.015507e-03	5.015000e+01	1.025825e-02	5.015000e+01	6.346028e-02	5.015000e+01	-1.902880e-03	5.015000e+01	-4.867587e-02	5.015000e+01	-2.722797e-02	5.015000e+01	-7.071092e-02	5.015000e+01	-2.065879e-02
5.215000e+01	-6.061190e-03	5.215000e+01	1.279232e-02	5.215000e+01	1.542614e-02	5.215000e+01	-3.901800e-02	5.215000e+01	4.528544e-03	5.215000e+01	-2.257351e-02	5.215000e+01	-3.634026e-04	5.215000e+01	-4.095892e-02	5.215000e+01	2.167731e-02
5.415000e+01	-7.379788e-03	5.415000e+01	-7.198199e-03	5.415000e+01	5.149624e-03	5.415000e+01	2.379607e-02	5.415000e+01	-2.296238e-02	5.415000e+01	-1.815211e-02	5.415000e+01	-1.347763e-02	5.415000e+01	-2.745498e-02	5.415000e+01	1.261293e-03
5.615000e+01	-2.174211e-02	5.615000e+01	-5.555650e-02	5.615000e+01	1.110504e-02	5.615000e+01	3.744504e-02	5.615000e+01	-2.266074e-02	5.615000e+01	-3.845929e-02	5.615000e+01	-2.016017e-02	5.615000e+01	-4.110636e-02	5.615000e+01	-4.454388e-02
5.815000e+01	4.484885e-03	5.815000e+01	3.848435e-03	5.815000e+01	3.966444e-02	5.815000e+01	1.017577e-02	5.815000e+01	2.371949e-02	5.815000e+01	-1.616346e-02	5.815000e+01	-1.408495e-02	5.815000e+01	-4.628731e-03	5.815000e+01	-6.651914e-03
6.015000e+01	-2.149649e-03	6.015000e+01	1.519569e-02	6.015000e+01	2.571602e-03	6.015000e+01	9.981383e-03	6.015000e+01	1.935436e-02	6.015000e+01	-5.879038e-03	6.015000e+01	-1.558189e-02	6.015000e+01	-2.127616e-02	6.015000e+01	-2.156314e-02
6.215000e+01	-4.230686e-03	6.215000e+01	-3.253594e-03	6.215000e+01	-1.449383e-02	6.215000e+01	1.659604e-02	6.215000e+01	-1.300163e-02	6.215000e+01	2.633899e-02	6.215000e+01	-3.323216e-02	6.215000e+01	2.835149e-04	6.215000e+01	-1.308283e-02
6.415000e+01	-8.221675e-03	6.415000e+01	2.430182e-02	6.415000e+01	-3.363196e-02	6.415000e+01	-1.683325e-02	6.415000e+01	-1.555777e-02	6.415000e+01	5.787475e-03	6.415000e+01	5.059278e-03	6.415000e+01	-2.382657e-02	6.415000e+01	-1.107243e-02
6.615000e+01	-2.156469e-02	6.615000e+01	-1.803809e-02	6.615000e+01	-1.331115e-02	6.615000e+01	-1.077248e-02	6.615000e+01	-4.592430e-02	6.615000e+01	-4.019591e-02	6.615000e+01	-1.042186e-02	6.615000e+01	-3.083561e-02	6.615000e+01	-3.018123e-03
6.815000e+01	3.039305e-03	6.815000e+01	-9.318751e-03	6.815000e+01	2.394182e-02	6.815000e+01	1.708106e-02	6.815000e+01	2.888361e-02	6.815000e+01	-3.835743e-03	6.815000e+01	-9.907636e-03	6.815000e+01	-3.148532e-02	6.815000e+01	8.955402e-03
7.015000e+01	-1.501257e-02	7.015000e+01	-4.152381e-02	7.015000e+01	-1.277865e-02	7.015000e+01	-4.276269e-02	7.015000e+01	5.485269e-03	7.015000e+01	1.391051e-02	7.015000e+01	3.331932e-02	7.015000e+01	-6.338199e-02	7.015000e+01	-1.236849e-02
7.215000e+01	2.308457e-03	7.215000e+01	2.590952e-02	7.215000e+01	2.434087e-02	7.215000e+01	-2.484513e-02	7.215000e+01	7.053262e-04	7.215000e+01	-3.812958e-03	7.215000e+01	4.170873e-03	7.215000e+01	2.253322e-02	7.215000e+01	-3.053406e-02
7.415000e+01	2.033834e-03	7.415000e+01	2.368660e-02	7.415000e+01	2.384248e-02	7.415000e+01	1.993449e-02	7.415000e+01	-2.646726e-02	7.415000e+01	4.615514e-02	7.415000e+01	-5.733399e-03	7.415000e+01	-5.152874e-02	7.415000e+01	-1.361864e-02
7.615000e+01	-1.284566e-02	7.615000e+01	2.118658e-02	7.615000e+01	-2.516928e-02	7.615000e+01	1.628126e-03	7.615000e+01	1.764464e-03	7.615000e+01	-4.370649e-02	7.615000e+01	-1.697867e-02	7.615000e+01	-2.933509e-02	7.615000e+01	-1.215489e-02
7.815000e+01	-1.200274e-02	7.815000e+01	-4.053252e-02	7.815000e+01	-1.863285e-02	7.815000e+01	-5.416664e-02	7.815000e+01	1.686180e-02	7.815000e+01	-3.206878e-03	7.815000e+01	2.101911e-02	7.815000e+01	-8.111372e-03	7.815000e+01	-9.252588e-03
