# Delay[ns]	Avg Transient	0137 Delay[ns]	0137 Transient	0138 Delay[ns]	0138 Transient	0139 Delay[ns]	0139 Transient
1.261500e+02	8.256359e-03	1.201500e+02	1.345534e-02	1.321500e+02	3.956610e-02	1.121500e+02	3.020138e-02
1.281500e+02	3.444083e-03	1.221500e+02	1.170399e-02	1.341500e+02	4.635056e-02	1.141500e+02	2.733986e-02
1.301500e+02	3.207885e-02	1.241500e+02	3.153874e-02	1.361500e+02	2.725874e-02	1.161500e+02	3.543123e-02
1.321500e+02	3.212304e-02	1.261500e+02	5.610121e-03	1.381500e+02	2.993814e-02	1.201500e+02	2.415636e-02
1.341500e+02	2.763318e-02	1.281500e+02	2.228722e-02	1.401500e+02	2.833000e-02	1.221500e+02	1.576071e-02
1.361500e+02	1.562278e-02	1.301500e+02	5.607177e-02	1.421500e+02	-6.544213e-03	1.241500e+02	3.152198e-02
1.381500e+02	3.726557e-02	1.321500e+02	3.647816e-02	1.441500e+02	2.104784e-02	1.261500e+02	1.510773e-03
1.401500e+02	2.463883e-02	1.341500e+02	3.424639e-02	1.481500e+02	1.244931e-02	1.281500e+02	1.492529e-02
1.421500e+02	2.870969e-02	1.361500e+02	1.268806e-02	1.501500e+02	3.935372e-02	1.301500e+02	-8.828196e-04
1.461500e+02	2.338922e-02	1.381500e+02	3.995831e-02	1.521500e+02	2.492675e-02	1.321500e+02	2.032485e-02
1.481500e+02	1.568285e-02	1.421500e+02	4.899876e-02	1.541500e+02	3.092858e-02	1.341500e+02	2.302603e-03
1.501500e+02	2.741585e-02	1.461500e+02	2.321670e-02	1.561500e+02	2.454935e-02	1.361500e+02	6.921531e-03
1.521500e+02	3.099581e-02	1.481500e+02	3.074486e-02	1.581500e+02	4.183126e-02	1.381500e+02	4.190024e-02
1.541500e+02	3.520858e-02	1.501500e+02	1.910606e-02	1.601500e+02	4.369709e-02	1.401500e+02	5.412931e-03
1.561500e+02	2.559275e-02	1.521500e+02	4.494486e-02	1.621500e+02	3.699602e-03	1.421500e+02	4.367452e-02
1.581500e+02	2.944602e-02	1.541500e+02	6.810459e-02	1.641500e+02	2.848022e-02	1.441500e+02	1.055377e-02
1.601500e+02	3.727856e-02	1.561500e+02	2.114649e-02	1.681500e+02	3.205810e-02	1.461500e+02	1.845798e-02
1.621500e+02	1.236139e-02	1.581500e+02	4.993169e-02	1.701500e+02	6.863582e-03	1.481500e+02	3.854375e-03
