# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0255 Delay[ns]	0255 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
3.815000e+01	-1.585929e-03	1.815000e+01	-4.552857e-02	3.215000e+01	1.591239e-04	2.615000e+01	-1.618578e-02	2.415000e+01	-3.879300e-04	1.415000e+01	-2.914399e-02	2.015000e+01	-6.363811e-02
4.015000e+01	-1.355215e-02	2.015000e+01	-2.316635e-02	3.415000e+01	-1.321423e-02	3.015000e+01	-1.599406e-02	2.615000e+01	-5.724524e-02	1.615000e+01	5.623346e-03	2.215000e+01	-9.394099e-04
4.215000e+01	-9.232834e-03	2.215000e+01	3.099043e-03	3.815000e+01	1.269176e-02	3.215000e+01	-5.900047e-03	2.815000e+01	-1.247987e-02	1.815000e+01	5.981641e-03	2.415000e+01	-3.075429e-03
4.415000e+01	-3.993926e-03	2.415000e+01	-3.111022e-03	4.015000e+01	-4.695676e-03	3.415000e+01	-5.171666e-02	3.215000e+01	1.597435e-02	2.015000e+01	-3.511325e-02	2.615000e+01	-1.029065e-03
4.615000e+01	-1.447616e-02	2.815000e+01	-5.678021e-02	4.415000e+01	-2.306109e-02	3.615000e+01	-1.773927e-02	3.415000e+01	-3.993461e-02	2.215000e+01	1.241380e-02	3.015000e+01	1.424061e-02
4.815000e+01	-2.927612e-02	3.215000e+01	-3.731298e-02	4.615000e+01	-4.862822e-02	3.815000e+01	1.201654e-03	3.615000e+01	-4.969054e-02	2.415000e+01	-5.122550e-02	3.215000e+01	-2.941415e-02
5.215000e+01	-2.032003e-02	3.415000e+01	-2.050303e-02	5.015000e+01	-4.792199e-02	4.015000e+01	-1.515787e-02	3.815000e+01	1.623592e-02	2.615000e+01	-2.346795e-02	3.615000e+01	-7.394760e-03
5.415000e+01	-2.439250e-03	3.615000e+01	-1.119017e-02	5.215000e+01	-3.197241e-02	4.215000e+01	-1.166671e-02	4.015000e+01	-2.077431e-02	2.815000e+01	-9.664647e-03	3.815000e+01	-4.070684e-02
5.615000e+01	-1.831317e-02	3.815000e+01	-2.492835e-02	5.615000e+01	-1.289226e-02	4.415000e+01	-1.097462e-02	4.215000e+01	4.734919e-03	3.215000e+01	-1.153898e-02	4.015000e+01	-1.861643e-02
5.815000e+01	-1.783563e-02	4.015000e+01	-4.004788e-02	5.815000e+01	-4.077655e-02	4.815000e+01	-4.390721e-02	4.615000e+01	2.847793e-02	3.415000e+01	-4.036761e-02	4.215000e+01	-3.472984e-03
